Domain,area,keywords,Abstract
Medical , Hepatitis C  , Feasibility study; hepatitis C risk behaviours; hepatitis C transmission knowledge; women who inject drugs; group intervention        ,"Aims: This study aimed to develop and test the feasibility, acceptability and initial effectiveness of a three-session psychosocial group intervention to reduce hepatitis C risk behaviours and increase hepatitis C transmission knowledge among women who inject drugs in five European cities/towns. Methods: An uncontrolled, field effectiveness study of a psychosocial group intervention. Hepatitis C virus (HCV) transmission knowledge, sexual and drug risk behaviours and depressive symptoms were assessed at baseline and one-month post-intervention. Intention-to-treat analyses were conducted. Findings: One-month post-intervention, a significant increase was reported in HCV transmission knowledge and in the number of new and unused needles/syringes used to inject. There were significant reductions in the sharing of spoons/containers for mixing that had been used by someone else, sharing of filters, cookers, spoons or water with someone who was hepatitis C positive and the use of alcohol swabs following injection. Conclusions: The intervention showed promising results in reducing some hepatitis C injecting risk behaviours and increasing hepatitis C transmission knowledge among women who inject drugs. These preliminary findings suggest that it is feasible to deliver the intervention in drug treatment settings, and that the intervention was acceptable to both participants and staff."
CS , Distributed computing  , Agent Architecture; Mobile Agent; Agent Cloning; Agent Spawning        ,"Mobile agent technology is becoming more popular and has been implemented in many distributed computing domains. Several research have been conducted to address its challenges including two most important ones which are agent spawning and agent mobility. This paper discusses the issues of mobile agent technology, the background of mobile agent cloning and spawning, agent mobility as well as the problems faced by many researchers in their research on mobile agents. The paper finally proposes new agent spawning and mobility models to resolve some of the researchers' problems."
ECE , Control engineering  , educational software tool; multivariable control; decoupling control; wind turbines        ,"This paper presents an educational software tool, called wtControlGUI, whose main purpose is to show the applicability and performance of different decoupling control strategies in wind turbines. Nowadays, wind turbines are a very important field in control engineering. Therefore, from an educational point of view, the tool also aims to improve the learning of multivariable control concepts applied on this field. In addition, wtControlGUI allows for testing and controlling of a lab-scale system which emulates the dynamic response of a large-scale wind turbine. The designed graphical user interface essentially allows simulation and experimental testing of decoupling networks and other multivariable methodologies, such as robust or decentralized control strategies. The tool is available for master degree students in control engineering. A survey was performed to evaluate the effectiveness of the proposed tool when it is used in educational related tasks. (C) 2016 Wiley Periodicals, Inc."
Psychology  , False memories  , judgment; metamemory; accuracy; eyewitness memory; episodic memory; long-term memory; confidence; false memory; recognition memory        ,"Different researchers have reported positive, null, and negative relationships between confidence and accuracy in reports from memory. One possible reason for this paradox is the variety of materials used across experiments, but the two experiments reported in this article show that positive and negative confidence-accuracy correlations can be observed using a single procedure and the same materials. Subjects studied words from semantic categories and then took a recognition test while making confidence ratings. For previously studied items, positive correlations between confidence and accuracy were obtained using three different measures. Yet when confidence-accuracy correlations were assessed for unstudied items from studied categories, the correlations were zero or negative. The critical factors in determining when negative correlations will be found are the similarity of lures to presented items and the type of analysis used. These results indicate that one should be cautious about relying on confidence of recognition when rememberers must decide among highly similar events."
Psychology  , Leadership  , Implementation support; Co-occurring disorders; Fidelity; Training; Technical assistance        ,"Background: Incorporating evidence-based integrated treatment for dual disorders into typical care settings has been challenging, especially among those serving Veterans who are homeless. This paper presents an evaluation of an effort to incorporate an evidence-based, dual disorder treatment called Maintaining Independence and Sobriety Through Systems Integration, Outreach, and Networking-Veterans Edition (MISSION-Vet) into case management teams serving Veterans who are homeless, using an implementation strategy called Getting To Outcomes (GTO). Methods: This Hybrid Type III, cluster-randomized controlled trial assessed the impact of GTO over and above MISSION-Vet Implementation as Usual (IU). Both conditions received standard MISSION-Vet training and manuals. The GTO group received an implementation manual, training, technical assistance, and data feedback. The study occurred in teams at three large VA Medical Centers over 2 years. Within each team, existing sub-teams (case managers and Veterans they serve) were the clusters randomly assigned. The trial assessed MISSION-Vet services delivered and collected via administrative data and implementation barriers and facilitators, via semi-structured interview. Results: No case managers in the IU group initiated MISSION-Vet while 68% in the GTO group did. Seven percent of Veterans with case managers in the GTO group received at least one MISSION-Vet session. Most case managers appreciated the MISSION-Vet materials and felt the GTO planning meetings supported using MISSION-Vet. Case manager interviews also showed that MISSION-Vet could be confusing; there was little involvement from leadership after their initial agreement to participate; the data feedback system had a number of difficulties; and case managers did not have the resources to implement all aspects of MISSION-Vet. Conclusions: This project shows that GTO-like support can help launch new practices but that multiple implementation facilitators are needed for successful execution of a complex evidence-based program like MISSION-Vet."
CS , Bioinformatics  , secondary metabolism; bioinformatics; genome mining; Aneurinibacillus migulanus; biocontrol bacteria; gramicidin S; biosurfactant        ,"The soil-borne gram-positive bacteria Aneurinibacillus migulanus strain Nagano shows considerable potential as a biocontrol agent against plant diseases. In contrast, A. migulanus NCTC 7096 proved less effective for inhibition of plant pathogens. Nagano strain exerts biocontrol activity against some gram-positive and gram-negative bacteria, fungi and oomycetes through the production of gramicidin S (GS). Apart from the antibiotic effects, GS increases the rate of evaporation from the plant surface, reducing periods of surface wetness and thereby indirectly inhibiting spore germination. To elucidate the molecular basis of differential biocontrol abilities of Nagano and NCTC 7096, we compared GS production and biosurfactant secretion in addition to genome mining of the genomes. Our results proved that: (i) Using oil spreading, blood agar lysis, surface tension and tomato leaves wetness assays, Nagano showed increased biosurfactant secretion in comparison with NCTC 7096, (ii) Genome mining indicated the presence of GS genes in both Nagano and NCTC 7096 with two amino acid units difference between the strains: T342I and P419S. Using 3D models and the DUET server, T342I and P419S were predicted to decrease the stability of the NCTC 7096 GS synthase, (iii) Nagano produced two additional GS-like molecules GS-1155 (molecular weight 1155) and GS-1169 (molecular weight 1169), where one or two ornithine residues replace lysine in the peptide. There was also a negative correlation between surface tension and the quantity of GS-1169 present in Nagano, and (iv) the Nagano genome had a full protein network of exopolysaccharide biosynthesis in contrast to NCTC 7096 which lacked the first enzyme of the network. NCTC 7096 is unable to form biofilms as observed for Nagano. Different molecular layers, mainly gramicidin secondary metabolite production, account for differential biocontrol abilities of Nagano and NCTC 7096. This work highlighted the basis of differential biological control abilities between strains belonging to the same species and demonstrates techniques useful to the screening of effective biocontrol strains for environmentally friendly secondary metabolites that can be used to manage plant pathogens in the field."
Psychology  , Depression  , Adolescence; Expressed emotion; Psychopathology; Family; Perception        ,"Objective: To investigate the association between the perception of expressed emotion and psychopathology of school-going adolescents in a non-clinical sample. Methods: The cross-sectional field study was conducted in Kocaeli, Turkey, and comprised high-school students during the 2014-15 school years. Data was collected using the Information Collection Form, Strengths and Difficulties Questionnaire and Shortened Level of Expressed Emotion Scale. SPSS 21 was used for data analysis. Results: Of the 487 subjects, 295(60.57%) were girls and 192(39.43%) were boys. The overall median age was 16 (inter-quartile range: 15-17 years). There were significant positive relationships between the scales in terms of emotional problems (p<0.001), behavioural problems (p<0.001), Attention-deficit/hyperactivity disorder (p<0.001), and peer relationship problems (p<0.001). There was also a negative significant relationship between pro-social behaviours and expressed emotion (p<0.001). Conclusion: The concept of perceived expressed emotion in non-clinical adolescents is useful in alarming clinicians and preventing mental disorders."
ECE , Electrical generator  , CO2 capture; Efficiency; Exergy; LNG (liquefied natural gas)        ,"The LNG (liquefied natural gas) regasification process is a source of cold exergy that is suitable to be recovered to improve the efficiency of thermal power plants. In this paper, an innovative power plant with LNG (liquefied natural gas) exergy utilisation and the capture of CO2 proceeding from the flue gases is presented. It is characterised by the recovery of LNG cold exergy in a closed Brayton cycle and through direct expansion in an expander coupled to an electrical generator. Moreover, this novel power plant configuration allows CO2 capture, through an oxy-fuel combustion system and a Rankine cycle that operates with the flue gases themselves and in quasi-critical conditions. The greatest advantage of this plant is that all the recoverable LNG exergy is used to increase the efficiency of the CBC (closed Brayton cycle) and in direct expansion whereas, in other power cycles found in literature that associate LNG regasification and CO2 capture, part of the LNG exergy is used for condensing flue gas CO2 for its subsequent capture. As a result, a high efficiency power plant is achieved, exceeding 65%, with almost zero greenhouse gas emissions. (C) 2015 Elsevier Ltd. All rights reserved."
CS , Distributed computing  , Quantum computing; Approximation algorithms; Distributed computing; Parallel processing; Randomized algorithms        ,"We make use of a kind of distributed semi-quantum computing models to study phase estimation. The basic idea is to use distributed micro quantum computers to process respectively a small quantity of quantum states and then communicate with a given classical computer via classical channel to transport the results. We study the phase estimation algorithm basing on this idea and provide a distributed semi-quantum algorithm for phase estimation. Its time complexity in the first stage will not be worse than the existing quantum algorithm of phase estimation, and particularly, has an exponential acceleration in the second stage of phase estimation. (C) 2016 Elsevier B.V. All rights reserved."
Medical , Ankylosing Spondylitis  , Biologic agents; Registry; Rheumatoid arthritis; Switching        ,"Despite improved quality of care for rheumatoid arthritis (RA) patients, many still experience treatment failure with a biologic agent and eventually switch to another biologic agent. We investigated patterns of biologic treatment and reasons for switching biologics in patients with RA. Patients with RA who had started on a biologic agent or had switched to another biologic agent were identified from the prospective observational Korean nationwide Biologics (KOBIO) registry. The KOBIO registry contained 1184 patients with RA at the time of initiation or switching of biologic agents. Patients were categorized according to the chronological order of the introduction of biologic agents, and reasons for switching biologics were also evaluated. Of the 1184 patients with RA, 801 started with their first biologic agent, 228 were first-time switchers, and 89 were second-time or more switchers. Second-time or more switchers had lower rheumatoid factor and anti-CCP positivity, and higher disease activity scores at the time of enrollment than the other groups. Among these patients, tocilizumab was the most commonly prescribed biologic agent, followed by adalimumab and etanercept. The most common reason for switching biologics was inefficacy, followed by adverse events, including infusion reactions, infections, and skin eruptions. Furthermore, the proportion of inefficacy, as a reason for switching, was significantly higher with respect to switching between biologics with different mechanisms of action than between biologics with similar mechanisms. In this registry, we showed diverse prescribing patterns and differing baseline profiles based on the chronological order of biologic agents."
